merchant_id,merchant_category,merchant_size,merchant_monthly_volume,merchant_recovery_preference
merch_073,DIGITAL_SERVICES,SMALL,22958439.23,BALANCED
merch_074,SAAS,MEDIUM,2749772.33,BALANCED
merch_075,ECOMMERCE,LARGE,2206768.15,BALANCED
merch_076,SAAS,MEDIUM,1412109.53,BALANCED
merch_077,SAAS,LARGE,1068600.25,AGGRESSIVE
merch_078,FOOD,MEDIUM,864279.13,BALANCED
merch_079,TRAVEL,MEDIUM,1233449.82,BALANCED
merch_080,DIGITAL_SERVICES,SMALL,2795278.96,CONSERVATIVE
merch_081,FOOD,MEDIUM,4190866.09,BALANCED
merch_082,EDTECH,SMALL,3157417.19,BALANCED
merch_083,DIGITAL_SERVICES,MEDIUM,1395254.74,BALANCED
merch_084,ECOMMERCE,LARGE,7380171.32,CONSERVATIVE
merch_085,ECOMMERCE,SMALL,6284114.62,AGGRESSIVE
merch_086,ECOMMERCE,MEDIUM,2557330.6,BALANCED
merch_087,HEALTHCARE,SMALL,1561576.9,BALANCED
merch_088,TRAVEL,MEDIUM,5191591.04,CONSERVATIVE
merch_089,ECOMMERCE,SMALL,3620404.92,AGGRESSIVE
merch_090,TRAVEL,LARGE,705029.97,CONSERVATIVE
merch_091,ECOMMERCE,SMALL,2802836.76,CONSERVATIVE
merch_092,HEALTHCARE,ENTERPRISE,3898719.25,AGGRESSIVE
merch_093,EDTECH,LARGE,1220081.31,AGGRESSIVE
merch_094,EDTECH,MEDIUM,3627180.71,CONSERVATIVE
merch_095,SAAS,LARGE,700325.4,BALANCED
merch_096,FOOD,LARGE,11413517.39,BALANCED
merch_097,EDTECH,ENTERPRISE,10449585.09,AGGRESSIVE
merch_098,ECOMMERCE,SMALL,2330528.24,BALANCED
merch_099,ECOMMERCE,MEDIUM,4314867.54,BALANCED
merch_100,MARKETPLACE,SMALL,269466.91,BALANCED
merch_101,MARKETPLACE,MEDIUM,943899.7,BALANCED
merch_102,HEALTHCARE,SMALL,2236323.83,BALANCED
merch_103,SAAS,MEDIUM,1026832.96,BALANCED
merch_104,MARKETPLACE,MEDIUM,6128860.06,CONSERVATIVE
merch_105,DIGITAL_SERVICES,MEDIUM,22107320.97,AGGRESSIVE
merch_106,HEALTHCARE,MEDIUM,924962.18,AGGRESSIVE
merch_107,EDTECH,MEDIUM,1298420.97,BALANCED
merch_108,SAAS,LARGE,3796428.12,CONSERVATIVE
merch_109,ECOMMERCE,MEDIUM,15025194.68,CONSERVATIVE
merch_110,MARKETPLACE,MEDIUM,883590.09,BALANCED
merch_111,EDTECH,LARGE,3848365.11,CONSERVATIVE
merch_112,ECOMMERCE,SMALL,18539639.94,AGGRESSIVE
merch_113,SAAS,SMALL,575137.08,BALANCED
merch_114,FOOD,SMALL,833220.54,BALANCED
merch_115,ECOMMERCE,MEDIUM,1964044.14,AGGRESSIVE
merch_116,DIGITAL_SERVICES,SMALL,1782512.48,BALANCED
merch_117,HEALTHCARE,LARGE,6761289.16,BALANCED
merch_118,HEALTHCARE,MEDIUM,3820082.46,BALANCED
merch_119,EDTECH,SMALL,508469.64,BALANCED
merch_120,FOOD,LARGE,5022976.53,BALANCED
merch_121,FOOD,MEDIUM,1683834.11,BALANCED
merch_122,FOOD,SMALL,10730171.13,AGGRESSIVE
merch_123,ECOMMERCE,SMALL,1601634.63,BALANCED
merch_124,EDTECH,SMALL,1587240.55,CONSERVATIVE
merch_125,ECOMMERCE,SMALL,5153849.44,BALANCED
merch_126,TRAVEL,SMALL,6433629.04,BALANCED
merch_127,SAAS,LARGE,4696002.68,CONSERVATIVE
merch_128,ECOMMERCE,SMALL,556001.09,CONSERVATIVE
merch_129,ECOMMERCE,SMALL,5137911.78,BALANCED
merch_130,FOOD,MEDIUM,1066416.79,BALANCED
merch_131,ECOMMERCE,MEDIUM,3795774.22,AGGRESSIVE
merch_132,MARKETPLACE,LARGE,722439.1,CONSERVATIVE
merch_133,FOOD,LARGE,4687664.28,CONSERVATIVE
merch_134,EDTECH,MEDIUM,1339120.94,BALANCED
merch_135,FOOD,SMALL,831917.2,AGGRESSIVE
merch_136,ECOMMERCE,ENTERPRISE,6125328.73,CONSERVATIVE
merch_137,MARKETPLACE,MEDIUM,3820024.4,CONSERVATIVE
merch_138,TRAVEL,ENTERPRISE,1623583.08,CONSERVATIVE
merch_139,DIGITAL_SERVICES,SMALL,12804429.14,BALANCED
merch_140,ECOMMERCE,LARGE,1930849.12,BALANCED
merch_141,TRAVEL,MEDIUM,3097886.06,CONSERVATIVE
merch_142,TRAVEL,SMALL,3925625.64,CONSERVATIVE
merch_143,MARKETPLACE,MEDIUM,1614372.53,BALANCED
merch_144,FOOD,MEDIUM,4805439.87,AGGRESSIVE
merch_145,TRAVEL,SMALL,1759729.21,BALANCED
merch_146,SAAS,MEDIUM,1987691.6,BALANCED
merch_147,SAAS,LARGE,11719509.46,CONSERVATIVE
merch_148,TRAVEL,SMALL,1059742.8,CONSERVATIVE
merch_149,EDTECH,MEDIUM,268697.78,BALANCED
merch_150,ECOMMERCE,SMALL,15022503.1,BALANCED
merch_151,DIGITAL_SERVICES,SMALL,38395499.08,AGGRESSIVE
merch_152,MARKETPLACE,LARGE,2000391.72,AGGRESSIVE
merch_153,ECOMMERCE,LARGE,432477.16,AGGRESSIVE
merch_154,TRAVEL,SMALL,2199276.21,AGGRESSIVE
merch_155,ECOMMERCE,ENTERPRISE,2253285.42,AGGRESSIVE
merch_156,FOOD,LARGE,2481066.35,CONSERVATIVE
merch_157,SAAS,SMALL,985332.87,CONSERVATIVE
merch_158,FOOD,LARGE,5355764.36,BALANCED
merch_159,HEALTHCARE,SMALL,5068878.87,BALANCED
merch_160,DIGITAL_SERVICES,ENTERPRISE,673145.8,CONSERVATIVE
merch_161,ECOMMERCE,MEDIUM,6036407.32,AGGRESSIVE
merch_162,MARKETPLACE,MEDIUM,23366357.42,BALANCED
merch_163,SAAS,SMALL,3562892.17,BALANCED
merch_164,ECOMMERCE,LARGE,2141030.22,CONSERVATIVE
merch_165,TRAVEL,SMALL,2602855.4,CONSERVATIVE
merch_166,EDTECH,SMALL,5550394.77,CONSERVATIVE
merch_167,DIGITAL_SERVICES,SMALL,531496.15,AGGRESSIVE
merch_168,DIGITAL_SERVICES,LARGE,3536024.21,BALANCED
merch_169,SAAS,SMALL,2030228.48,BALANCED
merch_170,MARKETPLACE,LARGE,19038006.09,BALANCED
merch_171,SAAS,MEDIUM,2520455.29,BALANCED
merch_172,TRAVEL,SMALL,15902874.83,BALANCED
merch_173,SAAS,SMALL,994884.72,BALANCED
merch_174,MARKETPLACE,SMALL,5397152.26,BALANCED
merch_175,ECOMMERCE,MEDIUM,4128906.3,CONSERVATIVE
merch_176,ECOMMERCE,LARGE,1258052.69,AGGRESSIVE
merch_177,EDTECH,SMALL,3582312.0,CONSERVATIVE
merch_178,MARKETPLACE,LARGE,10085826.54,AGGRESSIVE
merch_179,MARKETPLACE,SMALL,2170202.72,CONSERVATIVE
merch_180,HEALTHCARE,LARGE,552473.2,CONSERVATIVE
merch_181,MARKETPLACE,LARGE,2947771.5,AGGRESSIVE
merch_182,MARKETPLACE,LARGE,1216757.09,CONSERVATIVE
merch_183,TRAVEL,MEDIUM,2130318.18,BALANCED
merch_184,SAAS,LARGE,2764955.44,BALANCED
merch_185,DIGITAL_SERVICES,SMALL,544961.61,CONSERVATIVE
merch_186,FOOD,SMALL,596279.33,BALANCED
merch_187,EDTECH,SMALL,4858254.05,AGGRESSIVE
merch_188,ECOMMERCE,MEDIUM,1778719.27,AGGRESSIVE
merch_189,HEALTHCARE,MEDIUM,230816.55,BALANCED
merch_190,SAAS,MEDIUM,6576195.1,BALANCED
merch_191,MARKETPLACE,LARGE,3939217.28,CONSERVATIVE
merch_192,SAAS,SMALL,1469228.55,CONSERVATIVE
merch_193,ECOMMERCE,MEDIUM,803950.22,CONSERVATIVE
merch_194,DIGITAL_SERVICES,SMALL,6920030.55,AGGRESSIVE
merch_195,ECOMMERCE,SMALL,4254439.01,AGGRESSIVE
merch_196,ECOMMERCE,MEDIUM,32499170.68,BALANCED
merch_197,FOOD,ENTERPRISE,4566745.87,BALANCED
merch_198,DIGITAL_SERVICES,MEDIUM,4420776.81,BALANCED
merch_199,ECOMMERCE,SMALL,2538781.8,BALANCED
merch_200,SAAS,MEDIUM,6789573.7,BALANCED
merch_201,DIGITAL_SERVICES,SMALL,5605215.42,BALANCED
merch_202,MARKETPLACE,LARGE,10489107.07,CONSERVATIVE
merch_203,TRAVEL,MEDIUM,1781203.7,CONSERVATIVE
merch_204,ECOMMERCE,SMALL,1941002.93,AGGRESSIVE
merch_205,ECOMMERCE,SMALL,1858015.75,BALANCED
merch_206,SAAS,SMALL,6615490.93,AGGRESSIVE
merch_207,ECOMMERCE,ENTERPRISE,13423229.21,CONSERVATIVE
merch_208,FOOD,MEDIUM,1896048.14,BALANCED
merch_209,ECOMMERCE,LARGE,1961753.2,CONSERVATIVE
merch_210,TRAVEL,MEDIUM,4106986.35,CONSERVATIVE
merch_211,HEALTHCARE,MEDIUM,2346326.21,CONSERVATIVE
merch_212,FOOD,SMALL,7773075.8,CONSERVATIVE
merch_213,ECOMMERCE,ENTERPRISE,315636.2,AGGRESSIVE
merch_214,DIGITAL_SERVICES,SMALL,1312465.25,BALANCED
merch_215,HEALTHCARE,MEDIUM,1371899.06,BALANCED
merch_216,HEALTHCARE,MEDIUM,294715.82,BALANCED
merch_217,ECOMMERCE,MEDIUM,1144506.85,BALANCED
merch_218,ECOMMERCE,ENTERPRISE,1201362.31,BALANCED
merch_219,MARKETPLACE,SMALL,2453480.51,CONSERVATIVE
merch_220,EDTECH,MEDIUM,9130114.0,AGGRESSIVE
merch_221,SAAS,SMALL,2347971.2,BALANCED
merch_222,TRAVEL,MEDIUM,1070149.72,BALANCED
merch_223,FOOD,SMALL,2833911.03,BALANCED
merch_224,MARKETPLACE,SMALL,8565871.78,CONSERVATIVE
merch_225,SAAS,SMALL,1130492.61,AGGRESSIVE
merch_226,MARKETPLACE,SMALL,1206878.66,BALANCED
merch_227,ECOMMERCE,SMALL,5244402.14,CONSERVATIVE
merch_228,TRAVEL,MEDIUM,2403860.95,BALANCED
merch_229,FOOD,MEDIUM,5732186.12,BALANCED
merch_230,ECOMMERCE,SMALL,2959337.71,BALANCED
merch_231,ECOMMERCE,SMALL,6051317.01,BALANCED
merch_232,EDTECH,SMALL,1065595.9,BALANCED
merch_233,MARKETPLACE,MEDIUM,2963964.23,CONSERVATIVE
merch_234,FOOD,SMALL,2430075.37,AGGRESSIVE
merch_235,MARKETPLACE,SMALL,889337.36,BALANCED
merch_236,DIGITAL_SERVICES,SMALL,628219.5,BALANCED
merch_237,TRAVEL,MEDIUM,5955774.92,CONSERVATIVE
merch_238,DIGITAL_SERVICES,SMALL,2112051.83,AGGRESSIVE
merch_239,ECOMMERCE,MEDIUM,1079320.86,BALANCED
merch_240,ECOMMERCE,MEDIUM,2724904.42,CONSERVATIVE
merch_241,DIGITAL_SERVICES,MEDIUM,9268588.9,BALANCED
merch_242,DIGITAL_SERVICES,MEDIUM,306626.29,CONSERVATIVE
merch_243,SAAS,MEDIUM,671644.3,CONSERVATIVE
merch_244,TRAVEL,SMALL,1192111.19,BALANCED
merch_245,FOOD,LARGE,12933116.02,BALANCED
merch_246,DIGITAL_SERVICES,MEDIUM,3979671.47,AGGRESSIVE
merch_247,FOOD,SMALL,6461939.66,BALANCED
merch_248,EDTECH,MEDIUM,959302.68,BALANCED
merch_249,EDTECH,SMALL,979293.79,BALANCED
merch_250,EDTECH,MEDIUM,4694661.47,BALANCED
